x, y, theta, stamp, 
-0.9149007797241211, 0.9990429878234863, -0.11616313214662458, 1697835127638288612, 
-0.9149007797241211, 0.9990429878234863, -0.11616313214662458, 1697835127697960245, 
-0.9149007797241211, 0.9990429878234863, -0.11616313214662458, 1697835127743895125, 
-0.9149006605148315, 0.999042809009552, -0.11616172970172614, 1697835127792948348, 
-0.9149006605148315, 0.999042809009552, -0.11616174981909713, 1697835127843826265, 
-0.9136351346969604, 0.9987950325012207, -0.12232297862881811, 1697835127892102845, 
-0.9101741313934326, 0.9981249570846558, -0.1355065656556102, 1697835127942175744, 
-0.903425395488739, 0.9970986247062683, -0.15345851026745033, 1697835128004166912, 
-0.8967053294181824, 0.9956626892089844, -0.17138607973843745, 1697835128051898459, 
-0.8880923390388489, 0.9938389658927917, -0.1941580511488467, 1697835128101903771, 
-0.8791283369064331, 0.9919873476028442, -0.21846844641768035, 1697835128143919956, 
-0.8670098781585693, 0.9891244173049927, -0.2510445464870371, 1697835128193897716, 
-0.8395649790763855, 0.9811645746231079, -0.32681722315337147, 1697835128291520503, 
-0.8074783086776733, 0.9692306518554688, -0.41473640270632556, 1697835128403978575, 
-0.7807124853134155, 0.956062912940979, -0.49383657382109697, 1697835128500920367, 
-0.7567764520645142, 0.9421693682670593, -0.5681750374186144, 1697835128592904131, 
-0.7328894138336182, 0.9260724186897278, -0.639431779512957, 1697835128688128840, 
-0.704914391040802, 0.9038472175598145, -0.7317916459293224, 1697835128807915055, 
-0.6865860819816589, 0.8865973353385925, -0.7990058956211606, 1697835128897925098, 
-0.6690353751182556, 0.8678600192070007, -0.8662224089046203, 1697835128997952960, 
-0.6538034677505493, 0.8498282432556152, -0.9138735349744058, 1697835129088677908, 
-0.6355087757110596, 0.82530277967453, -0.9769322900681701, 1697835129208027076, 
-0.6226438879966736, 0.8056313395500183, -1.0209018494599866, 1697835129297934244, 
-0.6093677878379822, 0.7833691239356995, -1.0666847936700619, 1697835129397918474, 
-0.5982701778411865, 0.7628997564315796, -1.1075343175181633, 1697835129488421242, 
-0.584046483039856, 0.7336711287498474, -1.1575684446066203, 1697835129607926778, 
-0.574264407157898, 0.7109453082084656, -1.1942062108113491, 1697835129697941568, 
-0.5642732977867126, 0.6849753856658936, -1.2249248664739736, 1697835129797933258, 
-0.5559518337249756, 0.661581814289093, -1.2354564297014163, 1697835129888401640, 
-0.5449470281600952, 0.6294141411781311, -1.2516440435046123, 1697835130007905203, 
-0.5372945070266724, 0.6055523753166199, -1.2695882083715258, 1697835130097928222, 
-0.5287606716156006, 0.577599048614502, -1.284667360237145, 1697835130197927683, 
-0.5215016007423401, 0.5526371002197266, -1.2969448641148278, 1697835130287888410, 
-0.512077271938324, 0.5181017518043518, -1.3000305730904491, 1697835130408390435, 
-0.5048282146453857, 0.49255427718162537, -1.2877318064251893, 1697835130498934593, 
-0.4961613118648529, 0.4634181261062622, -1.28139724438355, 1697835130598086598, 
-0.4885997176170349, 0.4376281797885895, -1.2819714129103563, 1697835130688393015, 
-0.4782264828681946, 0.4024466872215271, -1.2785327723284041, 1697835130808474546, 
-0.47024601697921753, 0.3763589560985565, -1.276168039175681, 1697835130899367606, 
-0.46148252487182617, 0.3473762571811676, -1.2647515254259403, 1697835130996634838, 
-0.45268169045448303, 0.32075297832489014, -1.23661688470541, 1697835131088517539, 
-0.4402247667312622, 0.28635749220848083, -1.2052641066271959, 1697835131208010308, 
-0.43013954162597656, 0.26065653562545776, -1.1862839529686116, 1697835131298677929, 
-0.41838178038597107, 0.2327677458524704, -1.1703310323007705, 1697835131398407845, 
-0.4074813425540924, 0.2074643224477768, -1.1521517092398734, 1697835131488532078, 
-0.3920409679412842, 0.1739901453256607, -1.1049949431996358, 1697835131608396052, 
-0.37976858019828796, 0.15007521212100983, -1.0662375202985317, 1697835131698333302, 
-0.3646462559700012, 0.12308722734451294, -1.0354732640719218, 1697835131798300299, 
-0.3505808413028717, 0.09959331899881363, -1.005261123721395, 1697835131888473767, 
-0.33027413487434387, 0.06882493197917938, -0.9545227009998787, 1697835132008596805, 
-0.3139456510543823, 0.04667624086141586, -0.9025818987130706, 1697835132099288677, 
-0.29458245635032654, 0.02296258881688118, -0.8452637977270054, 1697835132198261211, 
-0.27616026997566223, 0.002707276027649641, -0.8002658618429699, 1697835132288436422, 
-0.2504144310951233, -0.02254503406584263, -0.738057063641205, 1697835132406961197, 
-0.2290954291820526, -0.041324179619550705, -0.6809414919732527, 1697835132498947616, 
-0.20532791316509247, -0.05982491746544838, -0.6176989294386981, 1697835132597196435, 
-0.18214312195777893, -0.07533526420593262, -0.5570552916780922, 1697835132688014507, 
-0.1511223316192627, -0.09345347434282303, -0.4776067420363881, 1697835132805948060, 
-0.12547466158866882, -0.10579898953437805, -0.4151714824058764, 1697835132898034508, 
-0.09794718772172928, -0.11705578863620758, -0.3441480389056407, 1697835132995992032, 
-0.07097141444683075, -0.12602448463439941, -0.2801870125043436, 1697835133088047690, 
-0.04159587249159813, -0.13361096382141113, -0.21254266227466923, 1697835133189382797, 
-0.0101978974416852, -0.13946855068206787, -0.1387873350633118, 1697835133297956550, 
0.01796002686023712, -0.14255459606647491, -0.06969348597539637, 1697835133395996131, 
0.04398271068930626, -0.14389941096305847, -0.006278593348676846, 1697835133488303098, 
0.07194165885448456, -0.1433507204055786, 0.060755008881668085, 1697835133587960250, 
